 	Design Numbers	obj_o_Wh_Loss	obj_o_Weight_Act
66	0.66	600.914933391	128.37990976293705
67	0.67	593.362666015	112.38329322763045
68	0.68	584.01389379	115.54798432454638
69	0.69	556.070771148	134.49891309940398
70	0.70	546.035353468	96.75484901707594
71	0.71	528.7590846	109.50604830088386
72	0.72	567.983488851	104.38916379312298
73	0.73	702.91294381	131.05992030436332
74	0.74	601.023466777	111.64073668973333
75	0.75	541.637488367	99.01124339045751
76	0.76	586.522398028	92.19846367540916
77	0.77	578.538025849	133.90282047363723
78	0.78	629.495766831	139.25419731384002
79	0.79	655.844109618	132.0840308988446
80	0.80	563.539197762	97.68791364367827
81	0.81	591.491077977	121.53542178259482
82	0.82	550.217393356	95.86957859070691
83	0.83	538.828130304	120.14918380656755
84	0.84	573.838120927	113.05807750978512
85	0.85	608.328389849	137.382077173937
86	0.86	593.221345764	137.2148161383804
87	0.87	551.23312659	89.42409243516404
88	0.88	597.931114797	123.04218628154044
89	0.89	635.352673881	132.84381222168423
90	0.90	573.752196098	116.33503764446306
91	0.91	573.080069426	129.85319350809104
92	0.92	660.819195194	128.51805301352778
93	0.93	574.795201255	101.69678482007258
94	0.94	575.327109505	100.38646054139346
95	0.95	618.552104412	106.13355463097258
96	0.96	582.942341508	144.0040921216945
97	0.97	624.135023578	130.16924888210744
98	0.98	588.814350151	100.68476250275494
99	0.99	677.61461816	121.58416312598884
100	0.100	587.667407354	145.89902018220937
101	0.101	584.429594678	104.7890968138228
102	0.102	693.828628534	141.5693578945029
103	0.103	590.257196532	102.6915866895962
104	0.104	570.090741068	95.14133287289481
105	0.105	622.535611483	143.36252499315873
106	0.106	625.305139665	123.35672938589182
107	0.107	590.792189194	111.78931185463394
108	0.108	585.807297934	117.50623624351469
109	0.109	686.114977521	136.3311835710342
110	0.110	691.24547891	111.77072279140495
111	0.111	568.001781989	87.40082539382573
112	0.112	547.582734595	101.64998868574176
113	0.113	556.751358145	97.20142497170193
114	0.114	556.362902517	110.79067098385042
115	0.115	543.025218042	101.95214838739113
116	0.116	548.782563168	131.60445031709702
117	0.117	569.081117239	125.45764092353184
118	0.118	599.507937468	130.1807453625221
119	0.119	nan	nan
120	0.120	565.84879414	106.4399573450149
121	0.121	535.634492507	118.44925578095534
122	0.122	582.768538862	117.62707252823826
123	0.123	573.105691169	104.78144862450895
124	0.124	561.318848627	92.16090603576225
125	0.125	626.520172714	116.22235804905851
126	0.126	628.62522725	135.63955605751872
127	0.127	564.624121302	122.08381201134705
128	0.128	607.537857758	119.19278489117264
129	0.129	575.669630637	110.41799528458272
130	0.130	584.897880033	107.91792959720296
131	0.131	617.26605472	140.16181868090106
132	0.132	605.538431093	121.61955400686959
133	0.133	552.088632976	89.26817453200604
134	0.134	518.723133494	91.60795127637451
135	0.135	631.88804657	137.29075577240675
136	0.136	660.130137758	138.69059211595084
137	0.137	573.684775414	119.41910394438685
138	0.138	543.730297071	132.29205090132223
139	0.139	560.299953724	111.30373830854315
140	0.140	nan	nan
141	0.141	556.283250641	107.12010717854902
142	0.142	563.292615445	112.42805558777269
143	0.143	570.522024832	88.07281412064955
144	0.144	624.672270346	136.32117814740545
145	0.145	590.038690321	129.532478202032
146	0.146	619.069226856	121.65478424432072
147	0.147	546.935817906	90.22715444868834
148	0.148	560.532820379	108.59108652059888
149	0.149	673.951320817	127.74631838994867
150	0.150	554.272398525	107.70422168342
151	0.151	520.715357597	114.62346993710761
152	0.152	547.426699884	96.29809576666341
153	0.153	575.549094218	97.21186774258022
154	0.154	579.316652949	101.12398808378732
155	0.155	574.580217513	100.00233469650875
156	0.156	604.029548997	97.44711569977137
157	0.157	nan	nan
158	0.158	nan	nan
159	0.159	533.455813231	108.6952054221429
160	0.160	571.363041719	106.1379687363069
161	0.161	591.312443944	108.15651132306942
162	0.162	600.804490444	124.26391795034245
163	0.163	551.11685313	134.42365182586593
164	0.164	608.565248039	137.72458971179557
165	0.165	565.824251084	111.80594636062318
166	0.166	624.59356178	146.19307873894
167	0.167	601.642469032	129.1411294309906
168	0.168	nan	nan
169	0.169	652.155298764	142.84497446204858
170	0.170	603.271838948	117.11432268805035
171	0.171	577.47096956	114.73428227667569
172	0.172	686.434421015	145.99529329840965
173	0.173	609.797577111	111.21980872555999
174	0.174	587.491648727	114.22469878484698
175	0.175	582.480385528	97.8017285778639
176	0.176	684.600333991	134.6563797269849
177	0.177	538.321247181	119.22002742982784
178	0.178	545.753179254	119.00441395054617
179	0.179	575.089982295	105.55945065228394
180	0.180	557.778957207	88.88334451507802
181	0.181	592.834271558	120.73102354736321
182	0.182	596.143911406	110.47392866815662
183	0.183	578.509828687	98.47150001770986
184	0.184	598.454712214	147.61449978235544
185	0.185	703.471806197	152.4867964683885
186	0.186	524.926734553	105.78434859373273
187	0.187	570.103617972	130.54683130710978
188	0.188	572.791820552	107.86755410923098
189	0.189	566.45023989	99.74694121796811
