 	Design Numbers	obj_o_Weight_Act	obj_o_Wh_Loss
116	0.116	132.41205083671713	548.5604381956072
117	0.117	126.31934138621746	570.598699521256
118	0.118	130.73683883713974	599.9513186413126
119	0.119	119.74966343591086	544.2069016071608
120	0.120	107.2847851930221	562.3819249984052
121	0.121	119.02489521994242	537.8101460206841
122	0.122	118.01549035856878	584.8848819902747
123	0.123	104.67173539230195	575.8305037024417
124	0.124	90.45878361873072	561.0788139496956
125	0.125	116.91430467144559	624.3651624294855
126	0.126	135.662310353314	626.6908855374551
127	0.127	122.68884827457244	565.5579177457041
128	0.128	119.60239262663531	607.9154464978789
129	0.129	110.41465961836556	569.950962642851
130	0.130	108.62338182947194	589.7384533153959
131	0.131	139.37292416409917	620.5445925748146
132	0.132	122.2866958732506	602.6923260988257
133	0.133	87.3564118134494	550.7423779208847
134	0.134	90.3063266084989	520.8171823207714
135	0.135	136.63566152520835	626.6608534720275
136	0.136	138.2219831518411	658.0086944687876
137	0.137	120.48312215080475	574.8544257646695
138	0.138	132.0049805133263	546.6567777941078
139	0.139	111.7728700859031	560.9787326340942
140	0.140	110.98283639740113	602.6408861169904
141	0.141	107.6269406547181	553.9484768537488
142	0.142	112.91912759394528	558.0482208527036
143	0.143	85.88865088013571	566.8264708771579
144	0.144	136.0809864415856	621.7199986484994
145	0.145	130.01582343411226	588.9435775672302
146	0.146	122.09997835172405	621.7040196640038
147	0.147	88.2966188745551	547.5803719529739
148	0.148	109.12889438066301	563.0597580707492
149	0.149	128.99691408813368	672.339600584212
150	0.150	109.04847675516037	552.5524859085986
151	0.151	115.61204224952824	522.7670059547473
152	0.152	95.20867394824056	543.5079799092568
153	0.153	96.85009121559507	577.0255380285092
154	0.154	101.39918755896426	584.4894164516477
155	0.155	100.42656106375365	572.838478661113
156	0.156	98.13048930760392	602.5794734351952
157	0.157	116.3130474025472	596.3784546988716
158	0.158	102.62587906833988	560.5263071699269
159	0.159	109.62095496157752	535.3419982121399
160	0.160	106.77151014655165	574.2777747183718
161	0.161	108.50528132940504	594.4007654692631
162	0.162	124.50040190569767	602.4107504819747
163	0.163	134.85241366536542	555.5287987937398
164	0.164	137.66147066211528	608.1136729782106
165	0.165	112.1134843392624	568.8372734120687
166	0.166	144.91449860137106	620.2908589001465
167	0.167	129.4969839808825	602.5948087902752
168	0.168	116.68837221882754	635.040692364806
169	0.169	141.59714214786604	651.5456954076691
170	0.170	117.79886666832986	604.6098840846515
171	0.171	115.30652169664718	577.7035051788025
172	0.172	144.5540680057223	685.3131578503421
173	0.173	111.36051948305777	606.4697777625026
174	0.174	115.57943592730298	586.9912287997753
175	0.175	96.98266802572617	581.9704390322534
176	0.176	133.86248457048416	683.9557221297939
177	0.177	119.87649934243191	537.292977913686
178	0.178	119.58266028884279	546.5499793828029
179	0.179	105.88861447209439	575.8917238592021
180	0.180	87.3918560923435	557.2970756589242
181	0.181	121.4116617150196	596.5501721511814
182	0.182	110.86059710845777	596.8715918003668
183	0.183	98.11934293242021	577.1038640145723
184	0.184	145.6840476379554	598.180384135214
185	0.185	149.77756653126858	701.8143585539984
186	0.186	106.10610240338276	525.6125419745634
187	0.187	130.575482189349	572.1968475047386
188	0.188	108.80736798140867	573.30675875598
189	0.189	99.62421486719853	566.5387988075207
190	0.190	112.37810566585003	563.1341286802946
191	0.191	124.54509249042604	680.5489017294849
192	0.192	134.46033597942986	637.8902184323034
193	0.193	131.2188352657035	590.5381450366099
194	0.194	116.63030101103607	585.3127841491812
195	0.195	117.13818332785878	578.7328388138841
196	0.196	99.52066867309513	563.9307914561413
197	0.197	118.50314741553663	545.0508320779801
198	0.198	100.06923587298408	587.6133633434073
199	0.199	133.4344382161755	618.4084171958046
200	0.200	137.25487963169488	635.9464616644013
201	0.201	104.52930488179264	576.4248255371832
202	0.202	107.48927434504087	570.7795978130392
203	0.203	109.35498724628111	614.6814494754533
204	0.204	140.78920723928078	648.6060443889362
