 	Design Numbers	obj_o_Wh_Loss	obj_o_Weight_Act
80	0.9424	487.8145116155693	139.9015751484524
81	0.9824	488.1475535509151	139.61758243415014
82	0.9636	488.1480508653277	139.61747644218283
83	0.7346	488.18732755449156	139.34644570634813
84	0.6964	488.18732755449156	139.34644570634813
85	0.8824	488.21023280839256	139.34319002689912
86	0.8399	488.3211922438249	139.26914144614892
87	0.4557	488.3867588443725	139.16448218236997
88	0.4448	488.63128062635667	138.91260567132264
89	0.4272	488.63128062635667	138.91260567132264
90	0.4014	488.63128062635667	138.91260567132264
91	0.3992	488.63128062635667	138.91260567132264
92	0.4775	488.72260997208764	138.82368600924022
93	0.6031	488.89652837865196	138.62998108216323
94	0.6878	489.11323262242246	138.4751192704946
95	0.8601	489.52301982903595	138.3888112222673
96	0.7301	489.5731623958433	138.03566956591595
97	0.7061	490.0057699470894	137.69328091068755
98	0.5406	490.19798703938335	137.53817371831667
99	0.9669	490.31881750217065	137.29259736742696
100	0.9617	490.7735697507794	137.1295109360308
101	0.4779	490.8748673276415	136.97564882011264
102	0.1943	491.0958916871782	136.7817845130995
103	0.5247	491.1282334797934	136.50002146901448
104	0.5226	491.39017931872735	136.27350826466864
105	0.5780	491.84119988508485	136.15854590740304
106	0.8167	492.09429868566997	135.69387858928204
107	0.8272	492.2053195781133	135.62745441598463
108	0.8530	492.51844951535264	135.37892847074085
109	0.8513	492.51844951535264	135.37892847074085
110	0.8067	492.55243158351556	135.37889279530808
111	0.6706	492.87279841787114	134.98581327530928
112	0.6779	492.8778710693867	134.98570437179634
113	0.6261	492.94538820916165	134.93291711345665
114	0.5640	492.99485333587114	134.91599042723954
115	0.6399	493.0070903237622	134.9051649411785
116	0.5614	493.28001014873877	134.6936870187797
117	0.7577	493.456993885994	134.66503992643698
118	0.6039	493.5154444615359	134.5952298565009
119	0.5731	493.5508261074832	134.56701371990096
120	0.5507	493.58357571168045	134.53164163188217
121	0.3107	493.90008739831296	134.45667949853254
122	0.6976	493.93317338356366	134.3282290187886
123	0.6796	493.96483213102096	134.0955726113975
124	0.8234	493.9681147926725	134.04802882501744
125	0.9896	494.05166699852504	134.03593698942836
126	0.1990	494.1953511423877	134.02016693402143
127	0.2961	494.32457850811767	133.92181443566352
128	0.2351	494.4708283339569	133.86877091552594
129	0.9612	494.6350818355092	133.4908392764953
130	0.7103	495.0301394205681	133.4597288498204
131	0.7561	495.0658328027556	133.39968279909658
132	0.6827	495.2084063486664	133.35925949009226
133	0.7442	495.2447753259758	133.16695835916164
134	0.7979	495.50589998997384	132.90021815061152
135	0.8598	495.8592912109212	132.70611371356262
136	0.5025	495.85980238299294	132.55582809195266
137	0.8145	496.1279038502404	132.32166156999403
138	0.5987	496.2384037432161	132.3179689972252
139	0.7578	496.30535411455634	132.25243807861685
140	0.6873	496.4971005308611	132.10762060451438
141	0.3006	496.5758978490941	132.08402630243623
142	0.9180	496.6603150860705	131.99768573196317
143	0.8310	496.7514794344838	131.94441949182195
144	0.5352	496.8991963091283	131.91897066026996
145	0.7761	496.9107423360212	131.8981711084799
146	0.7093	496.9927765167027	131.89107449589076
147	0.8142	497.03314783695146	131.88433923063752
148	0.7329	497.1579429048889	131.79882183402856
149	0.6536	497.25286569493727	131.7810257506243
150	0.6277	497.3257832418018	131.70731857588348
151	0.7354	497.35158013563796	131.70482259848853
152	0.1973	497.46308330592063	131.6585886901166
153	0.8809	497.5946795599651	131.5790022940724
154	0.9312	497.6178578115754	131.4360180256362
155	0.9207	497.63723743264995	131.4256486173872
156	0.9290	497.6882232527617	131.39742726129745
157	0.6637	497.73107032658277	131.38078348096064
158	0.1802	497.7565755622709	131.34271891653583
159	0.2995	498.1059624474831	131.23887919193427
160	0.3300	498.2258059204414	131.1896318855015
161	0.4376	498.4303575226929	131.16978783598364
162	0.3551	498.4349436687821	130.82466808838944
163	0.7837	498.6971891359106	130.646574322588
164	0.6854	498.7374831116752	130.64196184417375
165	0.9907	499.11393075568617	130.60026621346495
166	0.7986	499.21231244816914	130.15668474364438
167	0.6710	499.5101417171651	129.98956141899956
168	0.5043	499.5130420769637	129.9384788775026
169	0.3062	499.8206358921729	129.84959112490242
170	0.1743	499.9521232323071	129.7859980146306
171	0.9379	500.03753192391645	129.600247549833
