 	Design Numbers	obj_o_Wh_Loss	obj_o_Weight_Act
6086	0.6086	555.1245570009542	102.70599460311341
6087	0.6087	479.73096749102115	152.414495999402
6088	0.6088	589.384459955075	91.44658324939223
6089	0.6089	494.84791598026516	137.5966162338842
6090	0.6090	564.3726125956756	100.4237823728445
6091	0.6091	511.3637723836772	122.71390838825113
6092	0.6092	600.7383964841006	88.48959854410523
6093	0.6093	598.8659496306811	88.98077393806864
6094	0.6094	491.68370811788026	136.63543022204468
6095	0.6095	569.3771550738034	97.480748022297
6096	0.6096	552.8698493744414	103.85582416372357
6097	0.6097	489.6885783898937	148.04308946793174
6098	0.6098	614.8572640700461	88.48959854410523
6099	0.6099	502.87852824636343	127.66695368750474
6100	0.6100	508.7642107218072	124.04066643558264
6101	0.6101	634.7459129070807	79.85302705760999
6102	0.6102	480.86311989101563	152.40490191557265
6103	0.6103	482.31949590251844	148.04308946793174
6104	0.6104	493.93290490474146	134.98581327530928
6105	0.6105	545.6506150892209	106.35012553462599
6106	0.6106	578.0167436080126	94.70671544172167
6107	0.6107	564.7108238258842	99.15089883736044
6108	0.6108	493.8352803204625	135.89646247199056
6109	0.6109	480.144151479498	152.414495999402
6110	0.6110	611.6468936521188	85.58618241437927
6111	0.6111	507.92220329256554	124.50844992455599
6112	0.6112	516.5595547753396	119.85823332081063
6113	0.6113	607.5431319218974	86.719838093974
6114	0.6114	571.2579831641855	99.49471051966283
6115	0.6115	497.0178668303856	132.32166156999403
6116	0.6116	522.1148167910455	116.90163842336266
6117	0.6117	483.2761385121792	148.04308946793174
6118	0.6118	538.1557945075042	109.97338316876773
6119	0.6119	488.37576844081474	139.35013827911698
6120	0.6120	479.8906186801493	152.41080342663315
6121	0.6121	535.808472304137	110.36405831714437
6122	0.6122	485.4490850199425	142.8525309707473
6123	0.6123	587.7532517826656	94.53850309004159
6124	0.6124	502.87852824636343	127.66695368750474
6125	0.6125	573.4125356889047	96.18142866642991
6126	0.6126	627.3514296198455	81.95306791921406
6127	0.6127	592.0089283421091	90.6256074189923
6128	0.6128	585.5996886134795	93.10027605192249
6129	0.6129	597.199193849985	89.50008765996583
6130	0.6130	512.7990293592172	121.60114167244271
6131	0.6131	584.3416157843141	95.22710669133133
6132	0.6132	501.10192493544884	130.5357194829115
6133	0.6133	527.9965983458954	114.16668876639731
6134	0.6134	504.96186565182376	127.03018581456617
6135	0.6135	518.2302191952859	119.65716917818644
6136	0.6136	495.9452946133628	134.37147028119873
6137	0.6137	560.461685599219	100.69192827222334
6138	0.6138	547.4494061282726	108.1654333963091
6139	0.6139	484.8635641759403	143.34088218652187
6140	0.6140	481.7931547704333	148.04308946793174
6141	0.6141	493.0981052008895	134.98581327530928
6142	0.6142	590.3093634179901	91.44658324939223
6143	0.6143	536.6732669371714	109.97338316876773
6144	0.6144	633.5674885965055	80.11864632468652
6145	0.6145	538.8743441547965	112.45267970157511
6146	0.6146	565.7877511885557	100.07758527811276
6147	0.6147	610.753569188714	87.2433986200249
6148	0.6148	635.3292206260667	79.87636238241876
6149	0.6149	602.23001188551	88.0056200324364
6150	0.6150	600.6819582456037	89.03169876326197
6151	0.6151	564.3780567687205	103.59462477962194
6152	0.6152	552.6337141925871	103.59462477962194
6153	0.6153	537.2637355718978	115.42146371062859
6154	0.6154	546.642883154568	107.17695506304693
6155	0.6155	562.4036661152409	100.57107422561788
6156	0.6156	522.1117368675243	116.90163842336266
6157	0.6157	572.7363026277752	97.48487454307454
6158	0.6158	482.5069606035182	148.04308946793174
6159	0.6159	489.8291143299575	144.45749105955198
6160	0.6160	573.3711279377237	101.222559819105
6161	0.6161	484.8313663576727	143.8851340725177
6162	0.6162	625.502392956087	82.56761866981007
6163	0.6163	627.6043442788264	81.63906872723423
6164	0.6164	520.900948237539	117.42703388739726
6165	0.6165	570.3637788848417	97.1139232897105
6166	0.6166	571.4239007157993	98.17374435037372
6167	0.6167	589.381294826269	91.44658324939223
6168	0.6168	508.7642107218072	124.04066643558264
6169	0.6169	591.3311560954448	91.44658324939223
6170	0.6170	509.17284484152367	124.04066643558264
6171	0.6171	542.752103067077	108.16613415882723
6172	0.6172	612.6399967846812	85.12628905992119
6173	0.6173	557.0350118432709	103.18257970663502
6174	0.6174	560.4355033397113	100.6650975740188
6175	0.6175	548.7869129392506	107.70494834658727
6176	0.6176	486.4112931487403	148.6617115366869
6177	0.6177	584.451547325276	92.84778881635266
6178	0.6178	493.45781601047224	136.12284787470415
6179	0.6179	572.6507853661385	100.60494228205677
6180	0.6180	554.8037993605085	102.70085011259896
6181	0.6181	524.4591773591653	115.69345357375003
6182	0.6182	556.7312169861718	102.5533589647451
6183	0.6183	489.5666685475377	139.78219923044833
6184	0.6184	504.4075870640093	128.19879474850762
6185	0.6185	507.51484055097586	124.65500942969321
6186	0.6186	571.8497037736784	97.04326562328873
6187	0.6187	630.1133386920326	81.05919472632002
